pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
HD 180902 b,HD 180902,Radial Velocity,2009,0,510.9,1.5,-1.5,0,13.5,,,0,104.577,0.5735,-0.5735
HD 181234 b,HD 181234,Radial Velocity,2019,0,7593.40512,113.6102,-121.82598,0,12.5,,,0,47.7458,0.1298,-0.129
HD 181342 b,HD 181342,Radial Velocity,2009,0,564.1,4.1,-4.1,0,13.2,,,0,120.391,0.694,-0.694
HD 18143 b,HD 18143,Radial Velocity,2022,0,10.2851,0.00213,-0.00263,0,3.28,,,0,22.5243,0.023,-0.023
HD 18143 c,HD 18143,Radial Velocity,2022,0,28982.41764,18264.56731,-7978.16709,0,12.5,,,0,22.5243,0.023,-0.023
HD 181433 b,HD 181433,Radial Velocity,2008,0,9.3745,0.00025,-0.00038,0,,,,,26.8762,0.0225,-0.0225
HD 181433 c,HD 181433,Radial Velocity,2008,0,1018.5,1.47,-0.78,0,,,,,26.8762,0.0225,-0.0225
HD 181433 d,HD 181433,Radial Velocity,2008,0,6896.1,102.7,-123.7,0,13.2,,,0,26.8762,0.0225,-0.0225
HD 181720 b,HD 181720,Radial Velocity,2009,0,956,14,-14,0,14,,,0,60.2046,0.2433,-0.2414
HD 183263 b,HD 183263,Radial Velocity,2004,0,624.87404,0.2537,-0.26179,0,13.1,,,0,54.1955,0.1131,-0.1127
HD 183263 c,HD 183263,Radial Velocity,2008,0,4667.97841,18.57225,-17.90216,0,12.5,,,0,54.1955,0.1131,-0.1127
HD 183579 b,HD 183579,Transit,2021,0,17.471291,0.000027,-0.000028,0,3.49,0.07,-0.064,0,57.2651,0.1875,-0.1864
HD 184010 b,HD 184010,Radial Velocity,2022,0,286.6,2.4,-0.7,0,12.1,,,0,60.7993,0.2548,-0.2548
HD 184010 c,HD 184010,Radial Velocity,2022,0,484.3,5.5,-3.5,0,11.8,,,0,60.7993,0.2548,-0.2548
HD 184010 d,HD 184010,Radial Velocity,2022,0,836.4,8.4,-8.4,0,14.3,,,0,60.7993,0.2548,-0.2548
HD 18438 b,HD 18438,Radial Velocity,2023,0,803,5,-5,0,12.1,,,0,224.146,9.017,-8.356
HD 185269 b,HD 185269,Radial Velocity,2006,0,6.83776,0.00027,-0.00027,0,13.8,,,0,51.9917,0.0843,-0.084
HD 185283 b,HD 185283,Radial Velocity,2023,0,4060,148,-112,0,13.6,,,0,31.395,0.0545,-0.0542
HD 18599 b,HD 18599,Transit,2022,0,4.1374354,0.0000036,-0.0000037,0,2.6,0.15,-0.13,0,38.5653,0.0366,-0.0366
HD 187085 b,HD 187085,Radial Velocity,2006,0,1019.74,21.29,-22.58,0,13.9,,,0,45.8993,0.0938,-0.0935
HD 187123 b,HD 187123,Radial Velocity,1998,0,3.0965828,0.0000078,-0.0000078,0,14.2,,,0,45.9548,0.0716,-0.0714
HD 187123 c,HD 187123,Radial Velocity,2008,0,3810,420,-420,0,13.2,,,0,45.9548,0.0716,-0.0714
HD 18742 b,HD 18742,Radial Velocity,2011,0,766,25,-25,0,13.1,,,0,162.685,3.0755,-3.0755
HD 188015 b,HD 188015,Radial Velocity,2004,0,461.2,1.7,-1.7,0,13.6,,,0,50.6706,0.1095,-0.1089
HD 188641 b,HD 188641,Radial Velocity,2022,0,14583.81038,3328.20988,-2616.26788,0,11.9,,,0,64.3399,0.1793,-0.1784
